UnitName,Power_dyn,Power_leak
Core0,3.723,0.5181
Core1,10.2677,3.5669
Core2,10.6031,3.6508
Core3,15.555,4.8887
Core4,2.3093,1.8273
Core5,8.48654,2.12164
Core6,5.48654,1.12164
Core7,10.48654,3.12164
Core8,0.48654,0.12164
Core9,10.48654,3.12164
L3_0,0.14595,0.036488
L3_1,0.14595,0.036488
L3_2,0.14595,0.036488
L3_3,0.14595,0.036488
L3_4,0.14595,0.036488
L3_5,0.14595,0.036488
L3_6,0.14595,0.036488
L3_7,0.14595,0.036488
L3_8,0.14595,0.036488
L3_9,0.14595,0.036488
IO,5.6,1.4
MemController,2.4,0.6
Si_0,0.1,0.05
Si_1,0.1,0.05
Si_2,0.1,0.05
Si_3,0.1,0.05
Si_4,0.1,0.05
