UnitName,X,Y,Z,Length (m),Width (m),Thickness (m),ConfigFile,Label
MemController,0.0,0.0,0,0.01464,0.00359,7.500000000000001e-07,,Si
Core0,0.0,0.00359,0,0.00359,0.00195,7.500000000000001e-07,,Si
L3_0,0.00359,0.00359,0,0.00241,0.00195,7.500000000000001e-07,,Si
L3_1,0.006,0.00359,0,0.00241,0.00195,7.500000000000001e-07,,Si
Core1,0.00841,0.00359,0,0.00359,0.00195,7.500000000000001e-07,,Si
Si_0,0.012,0.00359,0,0.00264,0.00195,7.500000000000001e-07,,Si
Core2,0.0,0.00554,0,0.00359,0.00195,7.500000000000001e-07,,Si
L3_2,0.00359,0.00554,0,0.00241,0.00195,7.500000000000001e-07,,Si
L3_3,0.006,0.00554,0,0.00241,0.00195,7.500000000000001e-07,,Si
Core3,0.00841,0.00554,0,0.00359,0.00195,7.500000000000001e-07,,Si
Si_1,0.012,0.00554,0,0.00264,0.00195,7.500000000000001e-07,,Si
Core4,0.0,0.00749,0,0.00359,0.00195,7.500000000000001e-07,,Si
L3_4,0.00359,0.00749,0,0.00241,0.00195,7.500000000000001e-07,,Si
L3_5,0.006,0.00749,0,0.00241,0.00195,7.500000000000001e-07,,Si
Core5,0.00841,0.00749,0,0.00359,0.00195,7.500000000000001e-07,,Si
Si_2,0.012,0.00749,0,0.00264,0.00195,7.500000000000001e-07,,Si
Core6,0.0,0.00944,0,0.00359,0.00195,7.500000000000001e-07,,Si
L3_6,0.00359,0.00944,0,0.00241,0.00195,7.500000000000001e-07,,Si
L3_7,0.006,0.00944,0,0.00241,0.00195,7.500000000000001e-07,,Si
Core7,0.00841,0.00944,0,0.00359,0.00195,7.500000000000001e-07,,Si
Si_3,0.012,0.00944,0,0.00264,0.00195,7.500000000000001e-07,,Si
Core8,0.0,0.01139,0,0.00359,0.00195,7.500000000000001e-07,,Si
L3_8,0.00359,0.01139,0,0.00241,0.00195,7.500000000000001e-07,,Si
L3_9,0.006,0.01139,0,0.00241,0.00195,7.500000000000001e-07,,Si
Core9,0.00841,0.01139,0,0.00359,0.00195,7.500000000000001e-07,,Si
Si_4,0.012,0.01139,0,0.00264,0.00195,7.500000000000001e-07,,Si
IO,0.0,0.01334,0,0.01464,0.00346,7.500000000000001e-07,,Si
